Generation,Mix,Treatment,Replicate,Location,Patch,ID_in_batch,imageID,tibia_obsC,tibia_obsA
0,1,stock,stock,stock,0,1,G0_M1_G_1,143.945,147.115
0,1,stock,stock,stock,0,2,G0_M1_G_2,155.545,157.284
0,1,stock,stock,stock,0,3,G0_M1_G_3,159.687,162.637
0,1,stock,stock,stock,0,4,G0_M1_G_4,158.719,163.993
0,1,stock,stock,stock,0,5,G0_M1_G_5,165.411,167.188
0,1,stock,stock,stock,0,6,G0_M1_G_6,131.975,135.469
0,1,stock,stock,stock,0,7,G0_M1_G_7,152.026,141.616
0,1,stock,stock,stock,0,8,G0_M1_G_8,165.191,163.149
0,1,stock,stock,stock,0,9,G0_M1_G_9,165.734,164.458
0,1,stock,stock,stock,0,10,G0_M1_G_10,NA,NA
0,1,stock,stock,stock,0,11,G0_M1_G_11,165.03,160.763
0,1,stock,stock,stock,0,12,G0_M1_G_12,157.059,159.461
0,1,stock,stock,stock,0,13,G0_M1_G_13,164.648,165.649
0,1,stock,stock,stock,0,14,G0_M1_G_14,151.848,151.982
0,1,stock,stock,stock,0,15,G0_M1_G_15,153.26,155.949
0,1,stock,stock,stock,0,16,G0_M1_G_16,NA,NA
0,1,stock,stock,stock,0,17,G0_M1_G_17,155.386,152.262
0,1,stock,stock,stock,0,18,G0_M1_G_18,153.766,155.906
0,1,stock,stock,stock,0,19,G0_M1_G_19,163.328,158.171
0,1,stock,stock,stock,0,20,G0_M1_G_20,163.571,159.847
0,2,stock,stock,stock,0,1,G0_M2_G_1,161.038,159.294
0,2,stock,stock,stock,0,2,G0_M2_G_2,152.505,149.17
0,2,stock,stock,stock,0,3,G0_M2_G_3,158.333,151.614
0,2,stock,stock,stock,0,4,G0_M2_G_4,151.505,153.514
0,2,stock,stock,stock,0,5,G0_M2_G_5,162.363,163.163
0,2,stock,stock,stock,0,6,G0_M2_G_6,168.385,168.902
0,2,stock,stock,stock,0,7,G0_M2_G_7,168.207,165.51
0,2,stock,stock,stock,0,8,G0_M2_G_8,160.849,155.605
0,2,stock,stock,stock,0,9,G0_M2_G_9,153.755,147.211
0,2,stock,stock,stock,0,10,G0_M2_G_10,165.208,162.475
0,2,stock,stock,stock,0,11,G0_M2_G_11,165.243,163.867
0,2,stock,stock,stock,0,12,G0_M2_G_12,172.334,177.009
0,2,stock,stock,stock,0,13,G0_M2_G_13,160.712,160.661
0,2,stock,stock,stock,0,14,G0_M2_G_14,172.907,171.4
0,2,stock,stock,stock,0,15,G0_M2_G_15,168.438,163.598
0,2,stock,stock,stock,0,16,G0_M2_G_16,167.721,166.435
0,2,stock,stock,stock,0,17,G0_M2_G_17,163.571,165.732
0,2,stock,stock,stock,0,18,G0_M2_G_18,163.063,158.508
0,2,stock,stock,stock,0,19,G0_M2_G_19,170.776,167.644
0,2,stock,stock,stock,0,20,G0_M2_G_20,154.534,157.631
