Mix,Treatment,Replicate,Bloc,Location,Generation,Fecundity
1,stock,stock,stock,stock,0,0
1,stock,stock,stock,stock,0,50
1,stock,stock,stock,stock,0,37
1,stock,stock,stock,stock,0,36
1,stock,stock,stock,stock,0,33
1,stock,stock,stock,stock,0,39
1,stock,stock,stock,stock,0,0
1,stock,stock,stock,stock,0,43
1,stock,stock,stock,stock,0,42
1,stock,stock,stock,stock,0,30
1,stock,stock,stock,stock,0,32
1,stock,stock,stock,stock,0,40
1,stock,stock,stock,stock,0,52
1,stock,stock,stock,stock,0,20
1,stock,stock,stock,stock,0,39
1,stock,stock,stock,stock,0,32
1,stock,stock,stock,stock,0,37
1,stock,stock,stock,stock,0,16
1,stock,stock,stock,stock,0,37
1,stock,stock,stock,stock,0,26
2,stock,stock,stock,stock,0,35
2,stock,stock,stock,stock,0,2
2,stock,stock,stock,stock,0,50
2,stock,stock,stock,stock,0,54
2,stock,stock,stock,stock,0,41
2,stock,stock,stock,stock,0,38
2,stock,stock,stock,stock,0,37
2,stock,stock,stock,stock,0,61
2,stock,stock,stock,stock,0,40
2,stock,stock,stock,stock,0,44
2,stock,stock,stock,stock,0,41
2,stock,stock,stock,stock,0,52
2,stock,stock,stock,stock,0,38
2,stock,stock,stock,stock,0,41
2,stock,stock,stock,stock,0,40
2,stock,stock,stock,stock,0,44
2,stock,stock,stock,stock,0,50
2,stock,stock,stock,stock,0,46
2,stock,stock,stock,stock,0,45
2,stock,stock,stock,stock,0,36
3,stock,stock,stock,stock,0,47
3,stock,stock,stock,stock,0,51
3,stock,stock,stock,stock,0,42
3,stock,stock,stock,stock,0,34
3,stock,stock,stock,stock,0,0
3,stock,stock,stock,stock,0,19
3,stock,stock,stock,stock,0,33
3,stock,stock,stock,stock,0,52
3,stock,stock,stock,stock,0,0
3,stock,stock,stock,stock,0,38
3,stock,stock,stock,stock,0,50
3,stock,stock,stock,stock,0,38
3,stock,stock,stock,stock,0,39
3,stock,stock,stock,stock,0,41
3,stock,stock,stock,stock,0,30
3,stock,stock,stock,stock,0,45
3,stock,stock,stock,stock,0,31
3,stock,stock,stock,stock,0,51
3,stock,stock,stock,stock,0,0
3,stock,stock,stock,stock,0,22
3,control,1,1,core,12,37
3,control,1,1,core,12,31
3,control,1,1,core,12,45
3,control,1,1,core,12,32
