Mix,Treatment,Replicate,Bloc,Location,Generation,Density,Neggs_start,Neggs_arrival
1,stock,stock,1,stock,0,low,54,5
1,stock,stock,1,stock,0,low,35,7
1,stock,stock,1,stock,0,low,26,1
1,stock,stock,1,stock,0,low,44,13
1,stock,stock,1,stock,0,high,31,10
1,stock,stock,1,stock,0,high,30,12
1,stock,stock,1,stock,0,high,12,0
1,stock,stock,1,stock,0,high,31,8
2,stock,stock,1,stock,0,low,24,2
2,stock,stock,1,stock,0,low,46,0
2,stock,stock,1,stock,0,low,32,5
2,stock,stock,1,stock,0,low,20,3
2,stock,stock,1,stock,0,high,30,3
2,stock,stock,1,stock,0,high,25,1
2,stock,stock,1,stock,0,high,19,5
2,stock,stock,1,stock,0,high,40,5
3,stock,stock,1,stock,0,low,27,10
3,stock,stock,1,stock,0,low,38,4
3,stock,stock,1,stock,0,low,29,3
3,stock,stock,1,stock,0,low,35,14
3,stock,stock,1,stock,0,high,29,11
3,stock,stock,1,stock,0,high,13,7
3,stock,stock,1,stock,0,high,17,3
3,stock,stock,1,stock,0,high,20,5
2,control,4,NA,front,14,high,32,8
2,control,4,NA,front,14,high,43,0
1,control,5,NA,front,14,high,45,0
1,control,5,NA,front,14,high,59,0
3,restricted connectedness,4,NA,front,14,high,47,2
3,restricted connectedness,4,NA,front,14,high,10,43
2,control,4,NA,core,14,high,23,0
2,control,4,NA,core,14,high,39,0
1,control,5,NA,core,14,high,34,0
1,control,5,NA,core,14,high,35,13
3,restricted connectedness,4,NA,core,14,high,42,2
3,restricted connectedness,4,NA,core,14,high,23,27
1,control,5,NA,front,14,low,50,25
1,control,5,NA,front,14,low,46,2
2,control,4,NA,front,14,low,34,12
2,control,4,NA,front,14,low,25,1
3,restricted connectedness,4,NA,front,14,low,21,0
3,restricted connectedness,4,NA,front,14,low,40,9
1,control,5,NA,core,14,low,64,0
1,control,5,NA,core,14,low,25,0
2,control,4,NA,core,14,low,38,15
2,control,4,NA,core,14,low,27,24
3,restricted connectedness,4,NA,core,14,low,42,14
3,restricted connectedness,4,NA,core,14,low,12,35
1,restricted connectedness,6,NA,front,14,high,46,0
1,restricted connectedness,6,NA,front,14,high,33,0
2,restricted connectedness,6,NA,front,14,high,21,0
2,restricted connectedness,6,NA,front,14,high,35,19
3,control,5,NA,front,14,high,15,0
3,control,5,NA,front,14,high,31,0
1,restricted connectedness,6,NA,core,14,high,52,0
1,restricted connectedness,6,NA,core,14,high,34,9
2,restricted connectedness,6,NA,core,14,high,43,0
2,restricted connectedness,6,NA,core,14,high,27,0
3,control,5,NA,core,14,high,29,3
3,control,5,NA,core,14,high,31,23
3,control,5,NA,core,14,low,45,0
3,control,5,NA,core,14,low,39,0
1,restricted connectedness,6,NA,core,14,low,38,0
1,restricted connectedness,6,NA,core,14,low,29,0
2,restricted connectedness,6,NA,core,14,low,28,6
2,restricted connectedness,6,NA,core,14,low,31,17
3,control,5,NA,front,14,low,17,35
3,control,5,NA,front,14,low,21,9
1,restricted connectedness,6,NA,front,14,low,45,0
1,restricted connectedness,6,NA,front,14,low,41,10
2,restricted connectedness,6,NA,front,14,low,27,0
2,restricted connectedness,6,NA,front,14,low,14,1
