Generation,Bloc,Macro,Image,Total_surface,B,H,P,P_black,obs_count
1,1,MacroG1,1PL1_0.tiff,2106705,1970371,49230,87104,0.639,304
1,1,MacroG1,1PL1_1.tiff,2144284,1989498,144928,9858,0.064,NA
1,1,MacroG1,1PL1_2.tiff,2175650,2034391,96535,44724,0.317,NA
1,1,MacroG1,1PS1_0.tiff,2156408,2020311,46880,89217,0.656,NA
1,1,MacroG1,1PS1_1.tiff,2079720,1965586,110528,3606,0.032,NA
1,1,MacroG1,2PL1_0.tiff,2452320,2320612,98680,33028,0.251,NA
1,1,MacroG1,2PL1_1.tiff,2035448,1911725,50726,72997,0.59,NA
1,1,MacroG1,2PL1_2.tiff,2139375,1999118,76442,63815,0.455,NA
1,1,MacroG1,2PS2_0.tiff,1780207,1646795,86950,46462,0.348,161
1,1,MacroG1,2PS2_1.tiff,1781773,1651940,58478,71355,0.55,NA
1,1,MacroG1,2PS2_2.tiff,2128256,1990269,130471,7516,0.054,NA
1,1,MacroG1,3PL1_0.tiff,2083998,1955837,71334,56827,0.443,NA
1,1,MacroG1,3PL1_1.tiff,2053433,1914868,108590,29975,0.216,NA
1,1,MacroG1,3PL1_2.tiff,2277609,2121871,85305,70433,0.452,NA
1,1,MacroG1,3PL1_3.tiff,1913175,1774681,67902,70592,0.51,258
1,1,MacroG1,3PS1_0.tiff,2189680,2049096,66638,73946,0.526,NA
1,1,MacroG1,3PS1_1.tiff,2222121,2071170,86977,63974,0.424,NA
1,1,MacroG1,3PS1_2.tiff,2254692,2098914,92268,63510,0.408,NA
1,1,MacroG1,3PS1_3.tiff,2450580,2305686,131097,13797,0.095,60
1,2,MacroG1,1PL2_1.tiff,1971172,1853873,87158,30141,0.257,NA
1,2,MacroG1,1PL2_2.tiff,1949940,1796252,97780,55908,0.364,254
1,2,MacroG1,1PL3_0.tiff,2000097,1867034,60571,72492,0.545,NA
1,2,MacroG1,1PL3_1.tiff,1996534,1848900,81721,65913,0.446,NA
1,2,MacroG1,1PL3_2.tiff,1826250,1710505,108944,6801,0.059,32
1,2,MacroG1,1PS3_0.tiff,2163365,2012889,53953,96523,0.641,NA
1,2,MacroG1,1PS3_1.tiff,2099753,1933269,120748,45736,0.275,NA
1,2,MacroG1,1PS3_2.tiff,1924824,1814179,79249,31396,0.284,NA
1,2,MacroG1,2PL2_0.tiff,2174940,2020131,150534,4275,0.028,NA
1,2,MacroG1,2PL2_1.tiff,2162856,2004723,117401,40732,0.258,183
1,2,MacroG1,2PL2_2.tiff,2077434,1928319,125780,23335,0.156,NA
1,2,MacroG1,2PL2_3.tiff,2079296,1965083,108251,5962,0.052,NA
1,2,MacroG1,2PS3_0.tiff,2007369,1870651,69350,67368,0.493,NA
1,2,MacroG1,2PS3_1.tiff,2202808,2075181,73413,54214,0.425,226
1,2,MacroG1,3PS3_0.tiff,2056278,1943263,26888,86127,0.762,NA
1,2,MacroG1,3PS3_1.tiff,2032845,1914166,62961,55718,0.469,NA
1,2,MacroG1,3PS3_2.tiff,1836936,1722288,42381,72267,0.63,NA
1,2,MacroG1,3PS3_3.tiff,1920956,1813152,95793,12011,0.111,NA
1,3,MacroG1,1PL5_0.tiff,2141310,1988645,63002,89663,0.587,NA
1,3,MacroG1,1PL5_1.tiff,2018342,1883711,82331,52300,0.388,204
1,3,MacroG1,1PS5_0.tiff,2176858,2025312,79279,72267,0.477,NA
1,3,MacroG1,1PS5_1.tiff,2120760,1970157,63174,87429,0.581,NA
1,3,MacroG1,1PS5_2.tiff,2162732,2022408,56544,83780,0.597,318
1,3,MacroG1,1PS5_3.tiff,1950492,1799902,120470,30120,0.2,NA
1,3,MacroG1,2PL4_0.tiff,2293620,2160844,49391,83385,0.628,NA
1,3,MacroG1,2PL4_1.tiff,2186842,2063669,55311,67862,0.551,NA
1,3,MacroG1,3PL4_0.tiff,2117680,1991772,61417,64491,0.512,NA
1,3,MacroG1,3PL4_1.tiff,2050300,1924746,45899,79655,0.634,NA
1,3,MacroG1,3PL4_2.tiff,2156112,2040098,39161,76853,0.662,NA
1,3,MacroG1,3PL4_3.tiff,2164482,2035063,50720,78699,0.608,NA
1,3,MacroG1,3PL4_4.tiff,2296848,2174858,105993,15997,0.131,70
1,3,MacroG1,3PS4_0.tiff,1849344,1703534,40056,105754,0.725,NA
1,3,MacroG1,3PS4_1.tiff,2016225,1876417,43435,96373,0.689,NA
1,3,MacroG1,3PS4_2.tiff,2134984,2030829,32062,72093,0.692,NA
1,3,MacroG1,3PS4_3.tiff,2260788,2163320,55695,41773,0.429,180
